der_av_after_max_max,max_der_before_max_median,beats_count,max_der_before_max_max,stopFrame,logattacktime_min,temporal_centroid_median,max_der_before_max_mean,effective_duration_mean,effective_duration_median,max_to_total,spectral_skewness_var,startFrame,max_der_before_max_min,scvalleys_mean_5,barkbands_spread_max,scvalleys_var_0,beats_loudness_dmean2,temporal_decrease_median,der_av_after_max_mean,beats_loudness_min,temporal_skewness_max,beats_loudness_mean,logattacktime_median,average_loudness,duration,gfcc_var_0,temporal_spread_mean,effective_duration_max,spectral_rms_median,temporal_decrease_mean,logattacktime_max,logattacktime_mean,beats_loudness_var,effective_duration_min,temporal_centroid_min,temporal_spread_min,spectral_spread_min,spectral_spread_mean,beats_loudness_median,beats_loudness_dmean,beats_loudness_dvar2,spectral_strongpeak_mean,gfcc_max_1,tc_to_total,temporal_spread_max,beats_loudness_dvar,der_av_after_max_median,mfcc_max_1,Class
3e-06,4e-06,0,0.85181,0.000174,2e-06,0,0.000246,0,1.2e-05,0,0,0,1e-06,0,8.6e-05,3.7e-05,0,4e-06,6e-06,3e-06,0.000182,0.000292,0,1e-06,0,0,0.000123,0,1.6e-05,1e-06,3e-06,2.8e-05,0.000167,2.4e-05,0,0,0,5.4e-05,0,0,0,0,7e-06,0,0,0,4e-06,0.000153,1
2e-05,7e-06,3e-06,0.95227,0.000235,2e-05,1e-06,0.001826,0,2.2e-05,0,6e-06,0,3.6e-05,5e-06,4.1e-05,4e-05,6e-06,7e-06,7.5e-05,3.6e-05,0.000245,0.002247,2e-06,3.8e-05,1e-06,1e-06,0.000132,0,2.8e-05,2e-05,4e-05,1.8e-05,0.000125,1.6e-05,1e-06,0,0,3.6e-05,0,0,9e-06,2e-06,9.5e-05,9e-06,0,0,2.2e-05,0.000113,1
1e-06,1e-06,0,0.001922,0.000156,0,0,0.000139,0,4e-06,0,0,0,0,0,1e-05,5e-06,0,1e-06,2e-06,2e-06,0.000159,0.000155,3e-06,0,0,0,2.6e-05,0,5e-06,0,3e-06,3e-06,2.4e-05,3e-06,0,0,0,9e-06,0,0,0,3e-06,2e-06,0,0,0,1e-06,2.2e-05,3
5e-06,7e-06,0,0.080512,0.001067,4e-06,0,0.000848,0,2.9e-05,0,0,0,3e-06,0,6.9e-05,2.8e-05,0,7e-06,1.3e-05,1.1e-05,0.001091,0.000949,5e-06,3e-06,1e-06,0,0.000108,0,3.6e-05,4e-06,1.1e-05,1.8e-05,0.000144,1.7e-05,1e-06,0,0,7.3e-05,0,0,1e-06,5e-06,1.7e-05,1e-06,0,0,6e-06,0.000135,3
8.9e-05,0,3e-06,0,0.000739,6.8e-05,2e-06,0.000113,2e-06,0.000368,1e-06,5e-06,0,1.9e-05,5e-06,0.000399,0.001028,5e-06,0,0.000469,4.9e-05,0.000726,0.000127,4e-06,2e-05,2e-06,2e-06,0.000481,0,0.000455,6.5e-05,5.3e-05,0.000562,0.000492,0.000145,2e-06,0,1e-06,0.00071,0,0,8e-06,4e-06,0.00061,8e-06,2e-06,0,0.000102,0.000438,3
9e-06,1e-06,1e-06,0.005341,0.000197,6e-06,0,8.9e-05,0,1.9e-05,0,1e-06,0,4e-06,1e-06,3.1e-05,3e-05,1e-06,1e-06,1.2e-05,7e-06,0.000203,9.8e-05,1e-06,4e-06,0,0,9.6e-05,0,2.5e-05,6e-06,8e-06,2.2e-05,9e-05,1.4e-05,1e-06,0,0,4.8e-05,0,0,2e-06,1e-06,1.5e-05,2e-06,0,0,1e-05,8.5e-05,3
9.2e-05,0,7e-06,0.003655,0.001146,5.2e-05,1e-06,0.000278,1e-06,0.000323,1e-06,5e-06,0,2.9e-05,1.1e-05,0.000333,0.000252,5e-06,0,0.000136,6.8e-05,0.001128,0.000285,4e-06,3.1e-05,1e-06,1e-06,0.000863,0,0.00041,5e-05,7.4e-05,0.000208,0.000649,0.000132,1e-06,0,1e-06,0.0008,0,0,7e-06,4e-06,0.000175,7e-06,2e-06,0,0.000103,0.000597,3
2e-06,0.001641,0,0.000653,0.003998,2e-06,0,0.027416,0,9e-06,0,1e-06,0,1e-06,1e-06,8.2e-05,2.6e-05,1e-06,0.001615,4e-06,2e-06,0.003957,0.029692,1e-06,1e-06,0,0,0.000569,0,1.1e-05,2e-06,2e-06,1e-05,0.001404,1.5e-05,0,0,0,1.6e-05,0,0,2e-06,2e-06,6e-06,2e-06,1e-06,0,2e-06,0.001307,3
2e-06,0.000497,0,0.006183,0.00573,2e-06,0,0.017263,0,2.2e-05,0,0,0,0,0,0.000264,4.3e-05,0,0.000532,8e-06,1e-06,0.00587,0.019346,0,0,0,0,0.000582,0,2.8e-05,2e-06,1e-06,1.8e-05,0.001334,3.1e-05,0,0,0,7.5e-05,0,0,0,0,1.1e-05,0,0,0,3e-06,0.001206,3
0,0.000243,0,0.001687,0.001355,0,0,0.007102,0,3e-06,0,0,0,0,0,9.7e-05,2.2e-05,0,0.000254,1e-06,0,0.001376,0.007662,0,0,0,0,0.000205,0,4e-06,0,0,4e-06,0.000386,1.5e-05,0,0,0,5.8e-05,0,0,0,0,1e-06,0,0,0,0,0.00036,3
